original_address,lat,lon,formatted,postcode,city,county,state,state_code,country,country_code
"Tampa, FL 33620",28.06233508,-82.4120208,"Tampa, FL 33620, United States of America",33620,Tampa,Hillsborough County,Florida,FL,United States,us
"The Woodlands, TX 77381",30.1776785,-95.50384863,"Cochran's Crossing (The Woodlands), TX 77381, United States of America",77381,The Woodlands,Montgomery County,Texas,TX,United States,us
"Thousand Oaks, CA 91360",34.20015698,-118.875904,"Thousand Oaks, CA 91360, United States of America",91360,Thousand Oaks,Ventura County,California,CA,United States,us
"Tiffin, OH 44883",41.114485,-83.1779537,"Tiffin, OH 44883, United States of America",44883,Tiffin,Seneca County,Ohio,OH,United States,us
"Tuscaloosa, AL 35487",33.21012698,-87.54553296,"Tuscaloosa, AL 35487, United States of America",35487,Tuscaloosa,Tuscaloosa County,Alabama,AL,United States,us
"Tyler, TX 75799",32.316307,-95.25206535,"Tyler, TX 75799, United States of America",75799,Tyler,Smith County,Texas,TX,United States,us
"University Center, MI 48710",43.54321607,-83.97848883,"Frankenlust Township, MI 48710, United States of America",48710,Frankenlust Township,Bay County,Michigan,MI,United States,us
"University Park, IL 60484",41.4400344,-87.683377,"University Park, IL, United States of America",,University Park,Will County,Illinois,IL,United States,us
"University Park, PA 16802",40.80072057,-77.85974732,"State College, PA 16802, United States of America",16802,State College,Centre County,Pennsylvania,PA,United States,us
"University, MS 38677",34.36455298,-89.53748112,"Lafayette County, MS 38677, United States of America",38677,,Lafayette County,Mississippi,MS,United States,us
"Urbana, IL 61801",40.11076833,-88.21402277,"Urbana, IL 61801, United States of America",61801,Urbana,Champaign County,Illinois,IL,United States,us
"Utica, NY 13502",43.1009031,-75.2326641,"Utica, NY, United States of America",,Utica,Oneida County,New York,NY,United States,us
"Virginia Beach, VA 23464",36.79786663,-76.17667497,"Virginia Beach, VA 23464, United States of America",23464,Virginia Beach,,Virginia,VA,United States,us
"Waco, TX 76706",31.51805725,-97.12249318,"Waco, TX 76706, United States of America",76706,Waco,McLennan County,Texas,TX,United States,us
"Walla Walla, WA 99362",46.0667277,-118.339345,"Walla Walla, WA 99362, United States of America",99362,Walla Walla,Walla Walla County,Washington,WA,United States,us
"Washington, DC 20052",38.8950368,-77.0365427,"Washington, DC, United States of America",,Washington,,District of Columbia,DC,United States,us
"Waterloo, ON Canada N2L 3G1",43.47043145,-80.54393337,"Waterloo, ON N2L 3G1, Canada",N2L 3G1,Waterloo,Region of Waterloo,Ontario,ON,Canada,ca
"Waukesha, WI 53188",43.02057758,-88.27066791,"Waukesha, WI 53188, United States of America",53188,Waukesha,Waukesha County,Wisconsin,WI,United States,us
"Weatherford, OK 73096",35.5261633,-98.7075744,"Weatherford, OK 73096, United States of America",73096,Weatherford,Custer County,Oklahoma,OK,United States,us
"Wenzhou, China",27.9963899,120.695345,"Wenzhou, Zhejiang, China",,Wenzhou,,Zhejiang,,China,cn
"West Chester, PA 19383",39.9597213,-75.6059638,"West Chester (West Chester), PA 19383, United States of America",19383,West Chester,Chester County,Pennsylvania,PA,United States,us
"West Point, NY 10996",41.39242858,-73.96975461,"Highlands, NY 10996, United States of America",10996,Town of Highlands,Orange County,New York,NY,United States,us
"Wheaton, IL 60187",41.8646959,-88.1101709,"Wheaton, IL 60187, United States of America",60187,Wheaton,DuPage County,Illinois,IL,United States,us
"Wilmington, OH 45177",39.4453393,-83.8285375,"Wilmington, OH 45177, United States of America",45177,Wilmington,Clinton County,Ohio,OH,United States,us
"Winston-Salem, NC 27109",36.14602529,-80.27000299,"Winston-Salem, NC 27109, United States of America",27109,Winston-Salem,Forsyth County,North Carolina,NC,United States,us
"Winter Park, FL 32789",28.5989165,-81.34953424,"Winter Park, FL 32789, United States of America",32789,Winter Park,Orange County,Florida,FL,United States,us
"York, PA 17403",39.93221115,-76.71020644,"Queens Gate, PA 17403, United States of America",17403,Queens Gate,York County,Pennsylvania,PA,United States,us
"Youngstown, OH 44555",41.10583873,-80.64634593,"Youngstown, OH 44555, United States of America",44555,Youngstown,Mahoning County,Ohio,OH,United States,us
"Ypsilanti, MI 48197",42.241051,-83.6117646,"Ypsilanti, MI, United States of America",,Ypsilanti,Washtenaw County,Michigan,MI,United States,us
"Ada, OH 45810",40.7694969,-83.8227149,"Ada, OH 45810, United States of America",45810,Ada,Hardin County,Ohio,OH,United States,us
"Adrian, MI 49221",41.8975152,-84.0373054,"Adrian (Adrian), MI 49221, United States of America",49221,Adrian,Lenawee County,Michigan,MI,United States,us
"Alfred, NY 14802",42.2542334,-77.7906062,"Alfred, NY 14802, United States of America",14802,Alfred,Allegany County,New York,NY,United States,us
"Alma, MI 48801",43.37892,-84.659727,"Alma, MI 48801, United States of America",48801,Alma,Gratiot County,Michigan,MI,United States,us
"Amherst, NY 14226",42.9783924,-78.7997616,"Amherst, NY, United States of America",,Amherst,Erie County,New York,NY,United States,us
"Atlanta, GA 30302",33.7489924,-84.3902644,"Atlanta, GA, United States of America",,Atlanta,Fulton County,Georgia,GA,United States,us
"Atlanta, GA 30314",33.75756902,-84.43072004,"Atlanta, GA 30314, United States of America",30314,Atlanta,Fulton County,Georgia,GA,United States,us
"Austin, TX 78712",30.28624992,-97.73535327,"Austin, TX 78712, United States of America",78712,Austin,Travis County,Texas,TX,United States,us
"Baltimore, MD 21250",39.2908816,-76.610759,"Baltimore, MD, United States of America",,Baltimore,,Maryland,MD,United States,us
"Bend, OR 97701",44.06900323,-121.2692692,"Bend, OR 97701, United States of America",97701,Bend,Deschutes County,Oregon,OR,United States,us
"Berkeley, CA 94720",37.87292246,-122.2557252,"Berkeley, CA 94720, United States of America",94720,Berkeley,Alameda County,California,CA,United States,us
"Bethlehem, PA 18015",40.6178915,-75.3786521,"Bethlehem, PA, United States of America",,Bethlehem,Northampton County,Pennsylvania,PA,United States,us
"Bethlehem, PA 18018",40.62549326,-75.392026,"Bethlehem, PA 18018, United States of America",18018,Bethlehem,Northampton County,Pennsylvania,PA,United States,us
"Birmingham, AL 35229",33.5206824,-86.8024326,"Birmingham, AL, United States of America",,Birmingham,Jefferson County,Alabama,AL,United States,us
"Bloomsburg, PA 17815",41.0044958,-76.4537302,"Bloomsburg (Bloomsburg), PA 17815, United States of America",17815,Bloomsburg,Columbia County,Pennsylvania,PA,United States,us
"Boone, NC 28608",36.21027438,-81.68571768,"Boone, NC 28608, United States of America",28608,Boone,Watauga County,North Carolina,NC,United States,us
"Boston, MA 02125",42.31588398,-71.05931295,"Boston, MA 02125, United States of America",02125,Boston,Suffolk County,Massachusetts,MA,United States,us
"Brooklyn, NY 11205",40.6931168,-73.96433037,"New York, NY 11205, United States of America",11205,New York,Kings County,New York,NY,United States,us
"Brunswick, ME 04011",43.9166529,-69.9659438,"Brunswick (Brunswick), ME 04011, United States of America",04011,Brunswick,Cumberland County,Maine,ME,United States,us
"Burlington, VT 05402",44.4761601,-73.212906,"Burlington, VT, United States of America",,Burlington,Chittenden County,Vermont,VT,United States,us
"Cape Breton Island, Nova Scotia, Canada",45.1960403,-63.1653789,"NS, Canada",,,,Nova Scotia,NS,Canada,ca
"Cedar Rapids, IA 52402",42.0173443,-91.65279943,"Cedar Rapids, IA 52402, United States of America",52402,Cedar Rapids,Linn County,Iowa,IA,United States,us
"Center Valley, PA 18034",40.53590046,-75.41917766,"Upper Saucon, PA 18034, United States of America",18034,Upper Saucon,Lehigh County,Pennsylvania,PA,United States,us
"Chadron, NE 69337",42.8309807,-103.0003729,"Chadron, NE, United States of America",,Chadron,Dawes County,Nebraska,NE,United States,us
"Charleston, SC 29424",32.78554575,-79.9383592,"Charleston, SC 29424, United States of America",29424,Charleston,Charleston County,South Carolina,SC,United States,us
"Chicago, IL 60607",41.8771716,-87.65129133,"Chicago, IL 60607, United States of America",60607,Chicago,Cook County,Illinois,IL,United States,us
"Chicago, IL 60616",41.84697379,-87.63202286,"Chicago, IL 60616, United States of America",60616,Chicago,Cook County,Illinois,IL,United States,us
"Chico, CA 95929",39.72979132,-121.8470702,"Chico, CA 95929, United States of America",95929,Chico,Butte County,California,CA,United States,us
"Cincinnati, OH 45221",39.1322564,-84.51506105,"Cincinnati, OH 45221, United States of America",45221,Cincinnati,Hamilton County,Ohio,OH,United States,us
"Cleveland, OH 44115",41.49741282,-81.67802005,"Cleveland, OH 44115, United States of America",44115,Cleveland,Cuyahoga County,Ohio,OH,United States,us
"Columbus, GA 31907",32.48049173,-84.90662332,"Columbus, GA 31907, United States of America",31907,Columbus,Muscogee County,Georgia,GA,United States,us
"Cortland, NY 13045",42.6011813,-76.1804843,"Cortland, NY 13045, United States of America",13045,Cortland,Cortland County,New York,NY,United States,us
"Crawfordsville, IN, 47933",40.0401991,-86.8990249,"Crawfordsville, IN 47933, United States of America",47933,Crawfordsville,Montgomery County,Indiana,IN,United States,us
"Davis, CA 95616",38.54834276,-121.7435793,"Davis, CA 95616, United States of America",95616,Davis,Yolo County,California,CA,United States,us
"Delaware, OH 43015",40.2986724,-83.067965,"Delaware (Delaware), OH 43015, United States of America",43015,Delaware,Delaware County,Ohio,OH,United States,us
"Denton, TX 76204",33.22686606,-97.12776784,"Denton, TX 76204, United States of America",76204,Denton,Denton County,Texas,TX,United States,us
"Detroit, MI 48221",42.43113481,-83.14248888,"Detroit, MI 48221, United States of America",48221,Detroit,Wayne County,Michigan,MI,United States,us
"Dubai, United Arab Emirate",25.22773555,55.174999621360726,"United Arab Emirates, Dubai, United Arab Emirates",,,,Dubai,,United Arab Emirates,ae
"Dubuque, IA 52001",42.51071124,-90.67643839,"Dubuque, IA 52001, United States of America",52001,Dubuque,Dubuque County,Iowa,IA,United States,us
"Durant, OK 74701",34.0058748,-96.38848652,"Durant, OK 74701, United States of America",74701,Durant,Bryan County,Oklahoma,OK,United States,us
"Durham, NC 27707",35.9590678,-78.93869717,"Durham, NC 27707, United States of America",27707,Durham,Durham County,North Carolina,NC,United States,us
"Durham, NH 03824",43.134564,-70.927048,"Durham, NH 03824, United States of America",03824,Durham,Strafford County,New Hampshire,NH,United States,us
"Eau Claire, WI 54702",44.7774281,-91.4329981,"Eau Claire, WI 54702, United States of America",54702,Eau Claire,Eau Claire County,Wisconsin,WI,United States,us
"Edwardsville, IL 62026",38.79301533,-89.99559875,"Edwardsville, IL 62026, United States of America",62026,Edwardsville,Madison County,Illinois,IL,United States,us
"El Paso, TX 79968",31.76821888,-106.5049179,"El Paso, TX 79968, United States of America",79968,El Paso,El Paso County,Texas,TX,United States,us
"Elgin, IL 60123",42.04210069,-88.33027052,"Elgin, IL 60123, United States of America",60123,Elgin,Kane County,Illinois,IL,United States,us
"Emmitsburg, MD 21727",39.7045417,-77.3269307,"Emmitsburg (Emmitsburg), MD, United States of America",,Emmitsburg,Frederick County,Maryland,MD,United States,us
"Eugene, OR 97403",44.03558295,-123.0590942,"Eugene, OR 97403, United States of America",97403,Eugene,Lane County,Oregon,OR,United States,us
"Evansville, IN 47722",37.970022,-87.531405,"Evansville, IN 47722, United States of America",47722,Evansville,Vanderburgh County,Indiana,IN,United States,us
"Fargo, ND 58108",46.877229,-96.789821,"Fargo, ND, United States of America",,Fargo,Cass County,North Dakota,ND,United States,us
"Flint, MI 48504",43.04328972,-83.73220332,"Flint, MI 48504, United States of America",48504,Flint,Genesee County,Michigan,MI,United States,us
"Florence, SC 29502",34.20232425,-79.77389666,"Florence, SC 29502, United States of America",29502,Florence,Florence County,South Carolina,SC,United States,us
"Fort Collins, CO 80523",40.5723738,-105.0807378,"Fort Collins, CO 80523, United States of America",80523,Fort Collins,Larimer County,Colorado,CO,United States,us
"Fort Worth, TX 76102",32.75420369,-97.33094423,"Fort Worth, TX 76102, United States of America",76102,Fort Worth,Tarrant County,Texas,TX,United States,us
"Gary, IN 46408",41.6020962,-87.3370646,"Gary, IN, United States of America",,Gary,Lake County,Indiana,IN,United States,us
"Grand Rapids, MI 49546",42.9632425,-85.6678639,"Grand Rapids, MI, United States of America",,Grand Rapids,Kent County,Michigan,MI,United States,us
"Greensboro, NC 27412",36.0706476,-79.80775046,"Greensboro, NC 27412, United States of America",27412,Greensboro,Guilford County,North Carolina,NC,United States,us
"Hampton, VA 23668",37.0210096,-76.3386255,"Hampton, VA 23668, United States of America",23668,Hampton,,Virginia,VA,United States,us
"Hanover, NH 03755",43.70518638,-72.27977832,"Hanover, NH 03755, United States of America",03755,Hanover,Grafton County,New Hampshire,NH,United States,us
"Hartsville, SC 29550",34.3740431,-80.0734005,"Hartsville (Hartsville), SC 29550, United States of America",29550,Hartsville,Darlington County,South Carolina,SC,United States,us
"Hastings, NE 68902",40.60344493,-98.40705607,"Hastings, NE 68902, United States of America",68902,Hastings,Adams County,Nebraska,NE,United States,us
"Helena, MT 59625",46.602018,-112.036768,"Helena, MT 59625, United States of America",59625,Helena,Lewis and Clark County,Montana,MT,United States,us
"Hempstead, NY 11549",40.6736812,-73.6190736,"Hempstead, NY, United States of America",,Hempstead,Nassau County,New York,NY,United States,us
"Henderson, NV 89002",35.99184772,-114.9375219,"Henderson, NV 89002, United States of America",89002,Henderson,Clark County,Nevada,NV,United States,us
"Houston, TX 77058",29.56179379,-95.10596939,"Houston, TX 77058, United States of America",77058,Houston,Harris County,Texas,TX,United States,us
"Indiana, PA 15705",40.61629733,-79.15692326,"Indiana, PA 15705, United States of America",15705,Indiana,Indiana County,Pennsylvania,PA,United States,us
"Indianapolis, IN 46227",39.67787532,-86.13029708,"Indianapolis, IN 46227, United States of America",46227,Indianapolis,Marion County,Indiana,IN,United States,us
"Iowa City, IA 52242",41.66225678,-91.54317374,"Iowa City, IA 52242, United States of America",52242,Iowa City,Johnson County,Iowa,IA,United States,us
"Irvine, CA 92697",33.64568783,-117.8486728,"Irvine, CA 92697, United States of America",92697,Irvine,Orange County,California,CA,United States,us
"Jackson, MS 39210",32.3212498,-90.18019375,"Jackson, MS 39210, United States of America",39210,Jackson,Hinds County,Mississippi,MS,United States,us
"Jakarta, Indonesia",-6.175247,106.8270488,"Special capital Region of Jakarta, Java, Indonesia",,Special capital Region of Jakarta,,Java,,Indonesia,id
"Jersey City, NJ 07305",40.69890932,-74.09173875,"Jersey City, NJ 07305, United States of America",07305,Jersey City,Hudson County,New Jersey,NJ,United States,us
"Juneau, AK 99801",58.35146151,-134.5365067,"Juneau, AK 99801, United States of America",99801,Juneau,,Alaska,AK,United States,us
"Kaiserslautern, Germany",49.4432174,7.7689951,"Kaiserslautern, RP, Germany",,Kaiserslautern,,Rhineland-Palatinate,RP,Germany,de
"Kensington, PA 15068",40.57209437,-79.73457037,"New Kensington, PA 15068, United States of America",15068,New Kensington,Westmoreland County,Pennsylvania,PA,United States,us
"Kingston, RI 02881",41.4801166,-71.5227103,"Kingston, RI 02881, United States of America",02881,Kingston,South County,Rhode Island,RI,United States,us
"Kingsville, TX 78363",27.5158689,-97.856109,"Kingsville, TX 78363, United States of America",78363,Kingsville,Kleberg County,Texas,TX,United States,us
"La Jolla, CA 92093",32.87923731,-117.2394473,"San Diego, CA 92093, United States of America",92093,San Diego,San Diego County,California,CA,United States,us
"La Plume, PA 18440",41.5565738,-75.7551655,"La Plume, PA 18440, United States of America",18440,La Plume,Lackawanna County,Pennsylvania,PA,United States,us
"Lafayette, LA 70504",30.212035,-92.0202836,"Lafayette, LA 70504, United States of America",70504,Lafayette,Lafayette Parish,Louisiana,LA,United States,us
"Lakeland, FL 33801",28.0394654,-81.9498042,"Lakeland, FL, United States of America",,Lakeland,Polk County,Florida,FL,United States,us
"Laramie, WY 82071",41.31090491,-105.5834837,"Laramie, WY 82071, United States of America",82071,Laramie,Albany County,Wyoming,WY,United States,us
"Lawrence, KS 66045",38.95668789,-95.25207965,"Lawrence, KS 66045, United States of America",66045,Lawrence,Douglas County,Kansas,KS,United States,us
"Lincoln, NE 68588",40.81920395,-96.70266711,"Lincoln, NE 68588, United States of America",68588,Lincoln,Lancaster County,Nebraska,NE,United States,us
"Logan, UT 84322",41.74603593,-111.8108358,"Logan, UT 84322, United States of America",84322,Logan,Cache County,Utah,UT,United States,us
"Long Beach, CA 90840",33.78446116,-118.1097966,"Long Beach, CA 90840, United States of America",90840,Long Beach,Los Angeles County,California,CA,United States,us
"Long Island City, NY 11101",40.7415095,-73.9569751,"Long Island City, Borden Avenue, New York, NY 11109, United States of America",11109,New York,,New York,NY,United States,us
"Lubbock, TX 79409",33.58399384,-101.8794583,"Lubbock, TX 79409, United States of America",79409,Lubbock,Lubbock County,Texas,TX,United States,us
"Manhattan, KS 66506",39.19230409,-96.58080482,"Manhattan, KS 66506, United States of America",66506,Manhattan,Riley County,Kansas,KS,United States,us
"Maryville, MO 64468",40.3460468,-94.8723858,"Maryville, MO 64468, United States of America",64468,Maryville,Nodaway County,Missouri,MO,United States,us
"Miami Shores, FL 33161",25.89356057,-80.18238099,"North Miami, FL 33161, United States of America",33161,North Miami,Miami-Dade County,Florida,FL,United States,us
"Milledgeville, GA 31061",33.08752676,-83.24375574,"Milledgeville, GA 31061, United States of America",31061,Milledgeville,Baldwin County,Georgia,GA,United States,us
"Milwaukee, WI 53202",43.04924247,-87.89868121,"Milwaukee, WI 53202, United States of America",53202,Milwaukee,Milwaukee County,Wisconsin,WI,United States,us
"Minot, ND 58707",48.2481273,-101.3005556,"Minot, ND 58707, United States of America",58707,Minot,Ward County,North Dakota,ND,United States,us
"Montgomery, AL 36124",32.376865,-86.1720349,"Montgomery, AL 36124, United States of America",36124,Montgomery,Montgomery County,Alabama,AL,United States,us
"Moscow, Russia",55.7505412,37.6174782,"Moscow, Russia",,Moscow,,Moscow,,Russia,ru
"Muncie, IN 47306",40.19780353,-85.41095515,"Muncie, IN 47306, United States of America",47306,Muncie,Delaware County,Indiana,IN,United States,us
"Nacogdoches, TX 75962",31.6037322,-94.6559702,"Nacogdoches, TX, United States of America",,Nacogdoches,Nacogdoches County,Texas,TX,United States,us
"Naperville, IL 60540",41.7671907,-88.16220554,"Naperville, IL 60540, United States of America",60540,Naperville,DuPage County,Illinois,IL,United States,us
"New Haven, CT 06520",41.30693036,-72.93242144,"New Haven, CT 06520, United States of America",06520,New Haven,South Central Connecticut Planning Region,Connecticut,CT,United States,us
"New Kensington, PA 15068",40.5697893,-79.7647705,"New Kensington (New Kensington), PA 15068, United States of America",15068,New Kensington,Westmoreland County,Pennsylvania,PA,United States,us
"New York, NY 10001",40.74847677,-73.99413825,"New York, NY 10001, United States of America",10001,New York,New York County,New York,NY,United States,us
"New York, NY 10004",40.70113353,-74.01357106,"New York, NY 10004, United States of America",10004,New York,New York County,New York,NY,United States,us
"New York, NY 10012",40.72518998,-73.99810112,"New York, NY 10012, United States of America",10012,New York,New York County,New York,NY,United States,us
"New York, NY 10016",40.7454969,-73.9797503,"New York, NY 10016, United States of America",10016,New York,New York County,New York,NY,United States,us
"New York, NY 10027",40.81045597,-73.95052516,"New York, NY 10027, United States of America",10027,New York,New York County,New York,NY,United States,us
"New York, NY 10031",40.82532137,-73.94835704,"New York, NY 10031, United States of America",10031,New York,New York County,New York,NY,United States,us
"New York, NY 10038",40.70915188,-74.0043838,"New York, NY 10038, United States of America",10038,New York,New York County,New York,NY,United States,us
"Newport News, VA 23606",37.07646597,-76.49900448,"Newport News, VA 23606, United States of America",23606,,Newport News,Virginia,VA,United States,us
"Norfolk, VA 23529",36.88517192,-76.30639647,"Norfolk, VA 23529, United States of America",23529,Norfolk,,Virginia,VA,United States,us
"Norman, OK 73019",35.19815399,-97.44383483,"Norman, OK 73019, United States of America",73019,Norman,Cleveland County,Oklahoma,OK,United States,us
"North Adams, MA 01247",42.6990349,-73.1118997,"North Adams, MA 01247, United States of America",01247,North Adams,Berkshire County,Massachusetts,MA,United States,us
"North Andover, MA 01845",42.6839894,-71.1127065,"North Andover, MA 01845, United States of America",01845,North Andover,Essex County,Massachusetts,MA,United States,us
"Oakland, CA 94619",37.79067205,-122.1977242,"Oakland, CA 94619, United States of America",94619,Oakland,Alameda County,California,CA,United States,us
"Oberlin, OH 44074",41.2939386,-82.2173786,"Oberlin, OH 44074, United States of America",44074,Oberlin,Lorain County,Ohio,OH,United States,us
"Orono, ME 04469",44.90112082,-68.66783536,"Orono, ME 04469, United States of America",04469,Orono,Penobscot County,Maine,ME,United States,us
"Oroville, CA 95965",39.5137752,-121.556359,"Oroville, CA 95965, United States of America",95965,Oroville,Butte County,California,CA,United States,us
"Oxford, OH 45056",39.5103048,-84.7420519,"Oxford, OH 45056, United States of America",45056,Oxford,Butler County,Ohio,OH,United States,us
"Palm Desert, CA 92260",33.72790734,-116.3882892,"Palm Desert, CA 92260, United States of America",92260,Palm Desert,Riverside County,California,CA,United States,us
"Philadelphia, PA 19104",39.9577596,-75.19807602,"Philadelphia, PA 19104, United States of America",19104,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us
"Philadelphia, PA 19130",39.96821465,-75.17150861,"Philadelphia, PA 19130, United States of America",19130,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us
"Philadelphia, PA 19144",40.0357295,-75.17165992,"Philadelphia, PA 19144, United States of America",19144,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us
"Pittsburg, KS 66762",37.4108841,-94.70496,"Pittsburg (Pittsburg), KS 66762, United States of America",66762,Pittsburg,Crawford County,Kansas,KS,United States,us
"Pittsburgh, PA 15260",40.44398702,-79.95510335,"Pittsburgh, PA 15260, United States of America",15260,Pittsburgh,Allegheny County,Pennsylvania,PA,United States,us
"Pocatello, ID 83209",42.86393557,-112.4317731,"Pocatello, ID 83209, United States of America",83209,Pocatello,Bannock County,Idaho,ID,United States,us
"Portsmouth, OH 45662",38.7316375,-82.9965441,"Portsmouth, OH, United States of America",,Portsmouth,Scioto County,Ohio,OH,United States,us
"Prescott, AZ 86301",34.57459557,-112.4632446,"Prescott, AZ 86301, United States of America",86301,Prescott,Yavapai County,Arizona,AZ,United States,us
"Riverside, CA 92503",33.9824949,-117.374238,"Riverside, CA, United States of America",,Riverside,Riverside County,California,CA,United States,us
"Roanoke, VA 24014",37.23796025,-79.93353115,"Roanoke, VA 24014, United States of America",24014,Roanoke,,Virginia,VA,United States,us
"Rockford, IL 61108",42.25683029,-89.00969159,"Rockford, IL 61108, United States of America",61108,Rockford,Winnebago County,Illinois,IL,United States,us
"Russellville, AR 72801",35.27672528,-93.14017317,"Russellville, AR 72801, United States of America",72801,Russellville,Pope County,Arkansas,AR,United States,us
"Salem, MA 01970",42.5195292,-70.8967226,"Salem, MA 01970, United States of America",01970,Salem,Essex County,Massachusetts,MA,United States,us
"Salt Lake City, UT 84112",40.76489909,-111.8420979,"Salt Lake City, UT 84112, United States of America",84112,Salt Lake City,Salt Lake County,Utah,UT,United States,us
"San Diego, CA 92182",32.77347809,-117.0726116,"San Diego, CA 92182, United States of America",92182,San Diego,San Diego County,California,CA,United States,us
"San Luis Obispo, CA 93407",35.2827525,-120.659615,"San Luis Obispo, CA, United States of America",,San Luis Obispo,San Luis Obispo County,California,CA,United States,us
"Santa Rosa, CA 95401",38.4404925,-122.7141049,"Santa Rosa, CA, United States of America",,Santa Rosa,Sonoma County,California,CA,United States,us
"Sarasota, FL 34243",27.3365805,-82.5308545,"Sarasota, FL, United States of America",,Sarasota,Sarasota County,Florida,FL,United States,us
"Sioux Center, IA 51250",43.0796879,-96.1756497,"Sioux Center (Sioux Center), IA 51250, United States of America",51250,Sioux Center,Sioux County,Iowa,IA,United States,us
"Southfield, MI 48075",42.46283891,-83.2254127,"Southfield, MI 48075, United States of America",48075,Southfield,Oakland County,Michigan,MI,United States,us
"Springfield, IL 62703",39.76808718,-89.63219246,"Springfield, IL 62703, United States of America",62703,Springfield,Sangamon County,Illinois,IL,United States,us
"St Thomas, VI 00802",18.34357797,-64.92035202,"Saint Thomas - Saint John District, VI 00802, United States of America",00802,,Saint Thomas - Saint John District,United States Virgin Islands,,United States,us
"Stanford, CA 94305",37.42620827,-122.164265,"Stanford, CA 94305, United States of America",94305,Stanford,Santa Clara County,California,CA,United States,us
"Staten Island, NY 10314",40.60394813,-74.14730431,"New York, NY 10314, United States of America",10314,New York,,New York,NY,United States,us
"Storrs, CT 06269",41.8084314,-72.2495231,"Storrs (Mansfield), CT 06269, United States of America",06269,Mansfield,Capitol Planning Region,Connecticut,CT,United States,us
"Swarthmore, PA 19081",39.9020565,-75.3499124,"Swarthmore (Swarthmore), PA 19081, United States of America",19081,Swarthmore,Delaware County,Pennsylvania,PA,United States,us
"Syracuse, NY 13244",43.0481221,-76.1474244,"Syracuse, NY, United States of America",,Syracuse,Onondaga County,New York,NY,United States,us
"Tacoma, WA 98447",47.2455013,-122.438329,"Tacoma, WA, United States of America",,Tacoma,Pierce County,Washington,WA,United States,us
"Terre Haute, IN 47803",39.46606161,-87.34782001,"Terre Haute, IN 47803, United States of America",47803,Terre Haute,Vigo County,Indiana,IN,United States,us
"Texas City, TX 77591",29.40000542,-95.01069047,"Texas City, TX 77591, United States of America",77591,Texas City,Galveston County,Texas,TX,United States,us
"Troy, NY 12180",42.7284117,-73.6917878,"Troy, NY, United States of America",,Troy,Rensselaer County,New York,NY,United States,us
"Washington, DC 20036",38.8950368,-77.0365427,"Washington, DC, United States of America",,Washington,,District of Columbia,DC,United States,us
"Waterloo, ON Canada",43.4652699,-80.5222961,"Waterloo, ON, Canada",,Waterloo,Region of Waterloo,Ontario,ON,Canada,ca
"Waterloo, Ontario, Canada",43.4652699,-80.5222961,"Waterloo, ON, Canada",,Waterloo,Region of Waterloo,Ontario,ON,Canada,ca
"West Haven, CT 06516",41.2706527,-72.9470471,"West Haven (West Haven), CT 06516, United States of America",06516,West Haven,South Central Connecticut Planning Region,Connecticut,CT,United States,us
"West Lafayette, IN 47907",40.42524364,-86.91757233,"West Lafayette, IN 47907, United States of America",47907,West Lafayette,Tippecanoe County,Indiana,IN,United States,us
"West Long Branch, NJ 07764",40.2903891,-74.0176381,"West Long Branch, NJ 07764, United States of America",07764,West Long Branch,Monmouth County,New Jersey,NJ,United States,us
"Wichita, KS 67260",37.7193429,-97.2898878,"Wichita, KS 67260, United States of America",67260,Wichita,Sedgwick County,Kansas,KS,United States,us
"Abington, PA 19001",40.12577168,-75.1265243,"Abington Township, PA 19001, United States of America",19001,Abington Township,Montgomery County,Pennsylvania,PA,United States,us
"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",,Abu Dhabi,,Abu Dhabi Emirate,,United Arab Emirates,ae
"Abu Dis, Palestine",31.7642353,35.2584499,"Abu Dis (Abu Dis), West Bank, Palestinian Territory",,Abu Dis,Area B,West Bank,,Palestinian Territory,ps
"Aiken, SC 29801",33.56212007,-81.71607424,"Aiken, SC 29801, United States of America",29801,Aiken,,South Carolina,SC,United States,us
"Arlington, TX 76019",32.73262354,-97.11280586,"Arlington, TX 76019, United States of America",76019,Arlington,Tarrant County,Texas,TX,United States,us
"Arlington, VA 22207",38.8903961,-77.0841585,"Arlington, VA, United States of America",,Arlington,Arlington County,Virginia,VA,United States,us
"Astana, Kazakhstan",51.1282205,71.4306682,"Astana, Kazakhstan",,Astana,,,,Kazakhstan,kz
"Atlanta, GA, 30314",33.75756902,-84.43072004,"Atlanta, GA 30314, United States of America",30314,Atlanta,Fulton County,Georgia,GA,United States,us
"Augusta, GA 30912",33.47086154,-81.98866604,"Augusta, GA 30912, United States of America",30912,Augusta,Richmond County,Georgia,GA,United States,us
"Austin, TX 78704",30.24452171,-97.76192719,"Austin, TX 78704, United States of America",78704,Austin,Travis County,Texas,TX,United States,us
"Birmingham, AL 35254",33.523932,-86.850219,"Birmingham, AL 35254, United States of America",35254,Birmingham,Jefferson County,Alabama,AL,United States,us
"Blue Ash, OH 45236",39.20522364,-84.39849743,"Deer Park, OH 45236, United States of America",45236,Deer Park,Hamilton County,Ohio,OH,United States,us
